text,intent
What are the terms and conditions for coupon FESTIVE50?,ask_info
What platform will the session be streamed on?,ask_info
Where do I enter the promo code when booking?,ask_info
Where do I enter the promo code when booking?,ask_info
When should I arrive at hotel Wankhede Stadium?,ask_info
When does the train depart from 2025-09-20?,ask_info
Your concert tickets for Wankhede Stadium are booked.,not_ask_info
Where should I park my vehicle near the restaurant Art Exhibition?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
Where is platform 5 located at Bangalore station?,ask_info
Where is hotel 7:30 PM located?,ask_info
Where can I collect my boarding pass for flight Art Exhibition?,ask_info
Who is eligible for the discount coupon Eden Gardens?,ask_info
What is the topic of the webinar SAVE20?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Your hotel reservation at Bangalore is confirmed.,not_ask_info
Who will moderate the panel discussion?,ask_info
Who is the keynote speaker at the webinar?,ask_info
A reminder will be sent before the event starts.,not_ask_info
A confirmation email has been sent to you.,not_ask_info
Where is platform 5 located at Sports Match station?,ask_info
Who will moderate the panel discussion?,ask_info
Where can I redeem coupon Pune?,ask_info
What is the refund policy for flight Sunrise Hotel?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Your concert tickets for Royal Garden are booked.,not_ask_info
What is the baggage allowance for flight IN-786?,ask_info
What should I bring to the match?,ask_info
Who can help me apply the coupon?,ask_info
Dinner is included in your package.,not_ask_info
Where is hotel Pune located?,ask_info
When should I arrive at the airport for flight Ocean View Diner?,ask_info
Dinner is included in your package.,not_ask_info
When does the train depart from 2025-10-05?,ask_info
When does the event WELCOME10 start?,ask_info
Your hotel reservation at Sunrise Hotel is confirmed.,not_ask_info
Dinner is included in your package.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
The coupon SAVE20 offers a 20% discount on selected items.,not_ask_info
What meal options are included in my package?,ask_info
A confirmation email has been sent to you.,not_ask_info
When does the event WELCOME10 start?,ask_info
The coupon Delhi offers a 20% discount on selected items.,not_ask_info
Where is hotel Sunrise Hotel located?,ask_info
When should I arrive at the airport for flight Royal Garden?,ask_info
Your flight Lakeview Resort is confirmed for 2025-12-01.,not_ask_info
Where do I enter the promo code when booking?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
Who is playing in the match?,ask_info
Your concert tickets for WELCOME10 are booked.,not_ask_info
Who can help me with flight changes?,ask_info
A confirmation email has been sent to you.,not_ask_info
Who manages bookings at hotel Sunrise Hotel?,ask_info
Who is playing in the match?,ask_info
The coupon Sports Match offers a 20% discount on selected items.,not_ask_info
Coupons cannot be combined with other offers.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
When should I arrive at the airport for flight 2025-09-20?,ask_info
Your concert tickets for WELCOME10 are booked.,not_ask_info
The event will be live-streamed online.,not_ask_info
What are the seating arrangements at stadium John?,ask_info
Your flight Bangalore is confirmed for 2025-09-20.,not_ask_info
Who do I contact for room service?,ask_info
A confirmation email has been sent to you.,not_ask_info
Who can help me apply the coupon?,ask_info
The event will be live-streamed online.,not_ask_info
Who is the keynote speaker at the webinar?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
Where can I access the online event?,ask_info
Who is playing in the match?,ask_info
Who manages bookings at hotel Narendra Modi Stadium?,ask_info
Who will moderate the panel discussion?,ask_info
Your hotel reservation at Bangalore is confirmed.,not_ask_info
A confirmation email has been sent to you.,not_ask_info
Your flight 2025-10-05 is confirmed for 2025-11-15.,not_ask_info
Who do I contact for room service?,ask_info
When does the train depart from The Spice House?,ask_info
When should I arrive at the airport for flight Mumbai?,ask_info
Where can I redeem coupon IN-786?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
What are the terms and conditions for coupon Alice?,ask_info
A confirmation email has been sent to you.,not_ask_info
What platform will the session be streamed on?,ask_info
What is the refund policy for flight Meera?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Dinner is included in your package.,not_ask_info
What meal options are included in my package?,ask_info
When will match tickets be available?,ask_info
When will the offer expire?,ask_info
Dinner is included in your package.,not_ask_info
What is the refund policy for flight Wankhede Stadium?,ask_info
Who is the keynote speaker at the webinar?,ask_info
Who is the keynote speaker at the webinar?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
When is the last date to redeem coupon FESTIVE50?,ask_info
Who do I contact for room service?,ask_info
Where can I collect tickets for 3 PM?,ask_info
When does the restaurant open for dinner?,ask_info
Your hotel reservation at 2025-11-15 is confirmed.,not_ask_info
The event will be live-streamed online.,not_ask_info
Your concert tickets for Pune are booked.,not_ask_info
Coupons cannot be combined with other offers.,not_ask_info
Where is the venue for the seminar?,ask_info
When will match tickets be available?,ask_info
What are the check-in rules at hotel Food Festival?,ask_info
When can I download the event materials?,ask_info
Your concert tickets for IN-786 are booked.,not_ask_info
Your concert tickets for 10 AM are booked.,not_ask_info
The event will be live-streamed online.,not_ask_info
The coupon 10 AM offers a 20% discount on selected items.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
Who is eligible for the discount coupon Hilltop Inn?,ask_info
What are the seating arrangements at stadium Royal Garden?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
What is the topic of the webinar Hilltop Inn?,ask_info
Where is platform 5 located at SAVE20 station?,ask_info
What is the topic of the webinar Art Exhibition?,ask_info
What is the topic of the webinar SG-452?,ask_info
Dinner is included in your package.,not_ask_info
The event will be live-streamed online.,not_ask_info
The coupon Delhi offers a 20% discount on selected items.,not_ask_info
What platform will the session be streamed on?,ask_info
Where is the parking near stadium Sports Match?,ask_info
When should I arrive at hotel Meera?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
What is the topic of the webinar AI-301?,ask_info
Your concert tickets for IN-786 are booked.,not_ask_info
Where can I collect my boarding pass for flight Narendra Modi Stadium?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Where is hotel IN-786 located?,ask_info
Who can help me with flight changes?,ask_info
What is the topic of the webinar The Spice House?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
When should I arrive at the airport for flight 3 PM?,ask_info
What should I bring to the match?,ask_info
Where is the venue for the seminar?,ask_info
When does the event FESTIVE50 start?,ask_info
A confirmation email has been sent to you.,not_ask_info
Dinner is included in your package.,not_ask_info
When does the event Hilltop Inn start?,ask_info
Who can help me apply the coupon?,ask_info
A reminder will be sent before the event starts.,not_ask_info
When should I arrive at hotel AI-301?,ask_info
Your hotel reservation at Sunrise Hotel is confirmed.,not_ask_info
Coupons cannot be combined with other offers.,not_ask_info
A confirmation email has been sent to you.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
Your flight Art Exhibition is confirmed for 2025-10-05.,not_ask_info
Your flight AI-301 is confirmed for SG-452.,not_ask_info
What platform will the session be streamed on?,ask_info
The event will be live-streamed online.,not_ask_info
Coupons cannot be combined with other offers.,not_ask_info
Who manages bookings at hotel 2025-10-05?,ask_info
What are the seating arrangements at stadium Ocean View Diner?,ask_info
Dinner is included in your package.,not_ask_info
What discount does coupon Music Concert offer?,ask_info
Your concert tickets for Pune are booked.,not_ask_info
Where is hotel SAVE20 located?,ask_info
What documents do I need for train travel?,ask_info
When does the train depart from Sunrise Hotel?,ask_info
The event will be live-streamed online.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
What platform will the session be streamed on?,ask_info
What is the topic of the webinar Music Concert?,ask_info
Dinner is included in your package.,not_ask_info
What are the seating arrangements at stadium 10 AM?,ask_info
Your concert tickets for Ocean View Diner are booked.,not_ask_info
What is the refund policy for flight Narendra Modi Stadium?,ask_info
When should I arrive at hotel 10 AM?,ask_info
Where can I collect tickets for IN-786?,ask_info
Dinner is included in your package.,not_ask_info
Where is hotel FESTIVE50 located?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
When will the offer expire?,ask_info
Where is platform 5 located at 3 PM station?,ask_info
A reminder will be sent before the event starts.,not_ask_info
What discount does coupon Meera offer?,ask_info
Your hotel reservation at Lakeview Resort is confirmed.,not_ask_info
Who is eligible for the discount coupon WELCOME10?,ask_info
When does the train depart from Chennai?,ask_info
Who can help me apply the coupon?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Who is the chief guest at the event?,ask_info
What are the seating arrangements at stadium Ocean View Diner?,ask_info
The event will be live-streamed online.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
What is the topic of the webinar Sports Match?,ask_info
Where is platform 5 located at Hilltop Inn station?,ask_info
What is the topic of the webinar Mumbai?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
What are the check-in rules at hotel Sports Match?,ask_info
What platform will the session be streamed on?,ask_info
When does the webinar start?,ask_info
Where is platform 5 located at WELCOME10 station?,ask_info
What is the topic of the webinar 6 PM?,ask_info
What is the topic of the webinar 10 AM?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
When can I download the event materials?,ask_info
When does the train depart from 6 PM?,ask_info
The event will be live-streamed online.,not_ask_info
The coupon 2025-11-15 offers a 20% discount on selected items.,not_ask_info
Who is the chief guest at the event?,ask_info
Your hotel reservation at Sports Match is confirmed.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
What platform will the session be streamed on?,ask_info
What meal options are included in my package?,ask_info
The coupon SAVE20 offers a 20% discount on selected items.,not_ask_info
When does the train depart from SG-452?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Your concert tickets for IN-786 are booked.,not_ask_info
Who is the chief guest at the event?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
Who is the chief guest at the event?,ask_info
Who is eligible for the discount coupon Sunrise Hotel?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Where can I collect tickets for 2025-11-15?,ask_info
Your hotel reservation at SAVE20 is confirmed.,not_ask_info
When will the offer expire?,ask_info
When is the last date to redeem coupon Lakeview Resort?,ask_info
Your concert tickets for Hilltop Inn are booked.,not_ask_info
When will match tickets be available?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Coupons cannot be combined with other offers.,not_ask_info
Where can I collect tickets for 7:30 PM?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
What are the terms and conditions for coupon 3 PM?,ask_info
Who can help me apply the coupon?,ask_info
Your concert tickets for Sports Match are booked.,not_ask_info
Who do I contact for room service?,ask_info
The coupon Sunrise Hotel offers a 20% discount on selected items.,not_ask_info
Who is eligible for the discount coupon Wankhede Stadium?,ask_info
When does the train depart from Hilltop Inn?,ask_info
Your concert tickets for 3 PM are booked.,not_ask_info
Coupons cannot be combined with other offers.,not_ask_info
Who do I contact for room service?,ask_info
What are the check-in rules at hotel Bangalore?,ask_info
What platform will the session be streamed on?,ask_info
Where is hotel Music Concert located?,ask_info
When will the offer expire?,ask_info
The event will be live-streamed online.,not_ask_info
Your flight Sports Match is confirmed for 2025-11-15.,not_ask_info
Who can help me with flight changes?,ask_info
Your concert tickets for Food Festival are booked.,not_ask_info
Who can help me with flight changes?,ask_info
Where do I enter the promo code when booking?,ask_info
Dinner is included in your package.,not_ask_info
Your hotel reservation at Mumbai is confirmed.,not_ask_info
Where can I collect my boarding pass for flight Mumbai?,ask_info
A reminder will be sent before the event starts.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
What are the seating arrangements at stadium Narendra Modi Stadium?,ask_info
When is the last date to redeem coupon Wankhede Stadium?,ask_info
When does the train depart from Eden Gardens?,ask_info
What is the baggage allowance for flight Eden Gardens?,ask_info
What are the terms and conditions for coupon FESTIVE50?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Where can I redeem coupon WELCOME10?,ask_info
Who is playing in the match?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
The event will be live-streamed online.,not_ask_info
Who is in charge of platform announcements?,ask_info
Where should I park my vehicle near the restaurant The Spice House?,ask_info
Who is the keynote speaker at the webinar?,ask_info
What is the topic of the webinar Hilltop Inn?,ask_info
The coupon John offers a 20% discount on selected items.,not_ask_info
The event will be live-streamed online.,not_ask_info
Dinner is included in your package.,not_ask_info
The coupon 6 PM offers a 20% discount on selected items.,not_ask_info
Where can I collect my boarding pass for flight Royal Garden?,ask_info
Where do I enter the promo code when booking?,ask_info
Your flight Sunrise Hotel is confirmed for 2025-11-15.,not_ask_info
Your concert tickets for Sunrise Hotel are booked.,not_ask_info
What are the seating arrangements at stadium FESTIVE50?,ask_info
Where do I enter the promo code when booking?,ask_info
When does the event Sports Match start?,ask_info
Where do I enter the promo code when booking?,ask_info
What discount does coupon Bangalore offer?,ask_info
What platform will the session be streamed on?,ask_info
Your concert tickets for Lakeview Resort are booked.,not_ask_info
The event will be live-streamed online.,not_ask_info
Where should I park my vehicle near the restaurant Food Festival?,ask_info
Where can I collect tickets for Delhi?,ask_info
Who is the chief guest at the event?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
When does the webinar start?,ask_info
Your hotel reservation at SG-452 is confirmed.,not_ask_info
When should I arrive at the airport for flight Sports Match?,ask_info
Who is the chief guest at the event?,ask_info
Who is playing in the match?,ask_info
What discount does coupon Bangalore offer?,ask_info
Your flight Hilltop Inn is confirmed for WELCOME10.,not_ask_info
Who manages bookings at hotel Sports Match?,ask_info
When should I arrive at hotel Sunrise Hotel?,ask_info
What are the check-in rules at hotel 10 AM?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
What is the baggage allowance for flight Bangalore?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
The coupon FESTIVE50 offers a 20% discount on selected items.,not_ask_info
Who is the keynote speaker at the webinar?,ask_info
Dinner is included in your package.,not_ask_info
Your hotel reservation at Ocean View Diner is confirmed.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
Dinner is included in your package.,not_ask_info
Where can I collect my boarding pass for flight Narendra Modi Stadium?,ask_info
When should I arrive at hotel WELCOME10?,ask_info
Who is the keynote speaker at the webinar?,ask_info
When does the train depart from FESTIVE50?,ask_info
Your concert tickets for 2025-09-20 are booked.,not_ask_info
Where can I redeem coupon 7:30 PM?,ask_info
What is the topic of the webinar Meera?,ask_info
Where should I park my vehicle near the restaurant SAVE20?,ask_info
What is the topic of the webinar Narendra Modi Stadium?,ask_info
Who do I contact for room service?,ask_info
The event will be live-streamed online.,not_ask_info
Your flight 6 PM is confirmed for 2025-12-01.,not_ask_info
What meal options are included in my package?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
Your concert tickets for Food Festival are booked.,not_ask_info
Dinner is included in your package.,not_ask_info
Where is platform 5 located at 10 AM station?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Who is the chief guest at the event?,ask_info
Who is in charge of platform announcements?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Who do I contact for room service?,ask_info
Your hotel reservation at Ocean View Diner is confirmed.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
Where can I access the online event?,ask_info
Your hotel reservation at FESTIVE50 is confirmed.,not_ask_info
What are the check-in rules at hotel Mumbai?,ask_info
Dinner is included in your package.,not_ask_info
When will the offer expire?,ask_info
Where is hotel Pune located?,ask_info
Who is playing in the match?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
What are the check-in rules at hotel Wankhede Stadium?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Coupons cannot be combined with other offers.,not_ask_info
The event will be live-streamed online.,not_ask_info
Who can help me apply the coupon?,ask_info
Your concert tickets for Sunrise Hotel are booked.,not_ask_info
The coupon WELCOME10 offers a 20% discount on selected items.,not_ask_info
Who can help me apply the coupon?,ask_info
Your concert tickets for IN-786 are booked.,not_ask_info
When will the offer expire?,ask_info
When does the restaurant open for dinner?,ask_info
Who is in charge of platform announcements?,ask_info
What meal options are included in my package?,ask_info
When does the event 6 PM start?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
Coupons cannot be combined with other offers.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
Who can help me apply the coupon?,ask_info
Where is hotel Eden Gardens located?,ask_info
What documents do I need for train travel?,ask_info
Where do I enter the promo code when booking?,ask_info
The event will be live-streamed online.,not_ask_info
Who is the keynote speaker at the webinar?,ask_info
What meal options are included in my package?,ask_info
Your concert tickets for John are booked.,not_ask_info
Where can I access the online event?,ask_info
When should I arrive at hotel Alice?,ask_info
What is the topic of the webinar Hilltop Inn?,ask_info
Your concert tickets for The Spice House are booked.,not_ask_info
What are the seating arrangements at stadium SAVE20?,ask_info
Your hotel reservation at Meera is confirmed.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
When can I download the event materials?,ask_info
Who will moderate the panel discussion?,ask_info
The coupon Hilltop Inn offers a 20% discount on selected items.,not_ask_info
What are the check-in rules at hotel Eden Gardens?,ask_info
Where can I redeem coupon Alice?,ask_info
Who is the keynote speaker at the webinar?,ask_info
When does the train depart from Alice?,ask_info
The event will be live-streamed online.,not_ask_info
When does the event 2025-09-20 start?,ask_info
Your concert tickets for Eden Gardens are booked.,not_ask_info
What meal options are included in my package?,ask_info
When does the event WELCOME10 start?,ask_info
Who can help me with flight changes?,ask_info
What are the check-in rules at hotel Bangalore?,ask_info
When is the last date to redeem coupon 2025-10-05?,ask_info
Where should I park my vehicle near the restaurant Sports Match?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Dinner is included in your package.,not_ask_info
The event will be live-streamed online.,not_ask_info
When does the event Sunrise Hotel start?,ask_info
What is the topic of the webinar 7:30 PM?,ask_info
What are the terms and conditions for coupon The Spice House?,ask_info
Where should I park my vehicle near the restaurant 10 AM?,ask_info
Where can I access the online event?,ask_info
Who is the keynote speaker at the webinar?,ask_info
A confirmation email has been sent to you.,not_ask_info
Where can I collect tickets for Bangalore?,ask_info
When will the offer expire?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Dinner is included in your package.,not_ask_info
A confirmation email has been sent to you.,not_ask_info
What platform will the session be streamed on?,ask_info
What is the baggage allowance for flight Sports Match?,ask_info
A reminder will be sent before the event starts.,not_ask_info
When can I download the event materials?,ask_info
Who can help me with flight changes?,ask_info
Where can I redeem coupon The Spice House?,ask_info
Dinner is included in your package.,not_ask_info
A confirmation email has been sent to you.,not_ask_info
Your concert tickets for Meera are booked.,not_ask_info
What is the baggage allowance for flight 2025-11-15?,ask_info
When will the offer expire?,ask_info
Who is the keynote speaker at the webinar?,ask_info
Who can help me apply the coupon?,ask_info
The event will be live-streamed online.,not_ask_info
Your flight Art Exhibition is confirmed for Music Concert.,not_ask_info
When will match tickets be available?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
The event will be live-streamed online.,not_ask_info
Your concert tickets for 2025-09-20 are booked.,not_ask_info
What are the terms and conditions for coupon Alice?,ask_info
A reminder will be sent before the event starts.,not_ask_info
What meal options are included in my package?,ask_info
What is the refund policy for flight Music Concert?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
The event will be live-streamed online.,not_ask_info
Your concert tickets for Pune are booked.,not_ask_info
Who manages bookings at hotel Narendra Modi Stadium?,ask_info
Where can I collect my boarding pass for flight 2025-10-05?,ask_info
Who is eligible for the discount coupon Wankhede Stadium?,ask_info
Who manages bookings at hotel SG-452?,ask_info
What are the seating arrangements at stadium Delhi?,ask_info
The event will be live-streamed online.,not_ask_info
Where is the venue for the seminar?,ask_info
What should I bring to the match?,ask_info
When should I arrive at hotel Lakeview Resort?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
When does the event Ravi start?,ask_info
Dinner is included in your package.,not_ask_info
What are the seating arrangements at stadium Eden Gardens?,ask_info
What are the seating arrangements at stadium Sports Match?,ask_info
Your concert tickets for Pune are booked.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
When can I download the event materials?,ask_info
A confirmation email has been sent to you.,not_ask_info
Where do I enter the promo code when booking?,ask_info
Who is playing in the match?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Your flight Sunrise Hotel is confirmed for Narendra Modi Stadium.,not_ask_info
What platform will the session be streamed on?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
Your hotel reservation at Hilltop Inn is confirmed.,not_ask_info
Where can I access the online event?,ask_info
When should I arrive at hotel Meera?,ask_info
A reminder will be sent before the event starts.,not_ask_info
When does the webinar start?,ask_info
When will match tickets be available?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Who is eligible for the discount coupon Meera?,ask_info
Who is playing in the match?,ask_info
When does the webinar start?,ask_info
When will the offer expire?,ask_info
What is the topic of the webinar John?,ask_info
What platform will the session be streamed on?,ask_info
When does the train depart from Chennai?,ask_info
Dinner is included in your package.,not_ask_info
What documents do I need for train travel?,ask_info
Where is the venue for the seminar?,ask_info
What discount does coupon IN-786 offer?,ask_info
Who is playing in the match?,ask_info
Who can help me apply the coupon?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
When will the offer expire?,ask_info
When does the restaurant open for dinner?,ask_info
Where can I collect tickets for 3 PM?,ask_info
The coupon Ravi offers a 20% discount on selected items.,not_ask_info
Where is the parking near stadium WELCOME10?,ask_info
When is the last date to redeem coupon Pune?,ask_info
Who is playing in the match?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Where is the parking near stadium AI-301?,ask_info
Your hotel reservation at SG-452 is confirmed.,not_ask_info
The event will be live-streamed online.,not_ask_info
Who can help me with flight changes?,ask_info
Dinner is included in your package.,not_ask_info
Your hotel reservation at AI-301 is confirmed.,not_ask_info
Your flight SG-452 is confirmed for Narendra Modi Stadium.,not_ask_info
Who manages bookings at hotel Bangalore?,ask_info
Who can help me apply the coupon?,ask_info
Who is in charge of platform announcements?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Where can I collect my boarding pass for flight SAVE20?,ask_info
What meal options are included in my package?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Where can I collect tickets for Mumbai?,ask_info
What should I bring to the match?,ask_info
Where is the parking near stadium Ocean View Diner?,ask_info
Who manages bookings at hotel Alice?,ask_info
The coupon Pune offers a 20% discount on selected items.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
A confirmation email has been sent to you.,not_ask_info
Who is playing in the match?,ask_info
Where is the parking near stadium 2025-12-01?,ask_info
Who will moderate the panel discussion?,ask_info
Your concert tickets for Sports Match are booked.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
The coupon Art Exhibition offers a 20% discount on selected items.,not_ask_info
A confirmation email has been sent to you.,not_ask_info
The event will be live-streamed online.,not_ask_info
What discount does coupon 2025-10-05 offer?,ask_info
Who can help me apply the coupon?,ask_info
What is the refund policy for flight Music Concert?,ask_info
What is the topic of the webinar John?,ask_info
Where is hotel 2025-10-05 located?,ask_info
What platform will the session be streamed on?,ask_info
The coupon Ocean View Diner offers a 20% discount on selected items.,not_ask_info
A reminder will be sent before the event starts.,not_ask_info
Where is the parking near stadium Wankhede Stadium?,ask_info
Your hotel reservation at Narendra Modi Stadium is confirmed.,not_ask_info
Check-in starts 3 hours before departure.,not_ask_info
Where is hotel Hilltop Inn located?,ask_info
What meal options are included in my package?,ask_info
When will the offer expire?,ask_info
When does the event SAVE20 start?,ask_info
Who is the keynote speaker at the webinar?,ask_info
Dinner is included in your package.,not_ask_info
Who is the chief guest at the event?,ask_info
Your hotel reservation at AI-301 is confirmed.,not_ask_info
Coupons cannot be combined with other offers.,not_ask_info
Where can I collect tickets for Narendra Modi Stadium?,ask_info
What discount does coupon Bangalore offer?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
Who is eligible for the discount coupon Mumbai?,ask_info
When does the event Narendra Modi Stadium start?,ask_info
Who is in charge of platform announcements?,ask_info
Your hotel reservation at Eden Gardens is confirmed.,not_ask_info
What are the terms and conditions for coupon Mumbai?,ask_info
What are the check-in rules at hotel WELCOME10?,ask_info
Who is playing in the match?,ask_info
Who can help me apply the coupon?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Your hotel reservation at Chennai is confirmed.,not_ask_info
Where should I park my vehicle near the restaurant Sunrise Hotel?,ask_info
A confirmation email has been sent to you.,not_ask_info
Who is the keynote speaker at the webinar?,ask_info
Who is eligible for the discount coupon Wankhede Stadium?,ask_info
Your flight Alice is confirmed for 2025-12-01.,not_ask_info
The coupon WELCOME10 offers a 20% discount on selected items.,not_ask_info
Who will moderate the panel discussion?,ask_info
Where can I collect my boarding pass for flight 10 AM?,ask_info
What are the terms and conditions for coupon Mumbai?,ask_info
What discount does coupon 3 PM offer?,ask_info
Where is platform 5 located at 2025-10-05 station?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
The coupon SAVE20 offers a 20% discount on selected items.,not_ask_info
What are the check-in rules at hotel Ocean View Diner?,ask_info
When does the webinar start?,ask_info
Where is the venue for the seminar?,ask_info
What is the topic of the webinar Pune?,ask_info
Your flight Tech Webinar is confirmed for IN-786.,not_ask_info
Coupons cannot be combined with other offers.,not_ask_info
Your concert tickets for 7:30 PM are booked.,not_ask_info
What meal options are included in my package?,ask_info
Dinner is included in your package.,not_ask_info
Where can I redeem coupon Ravi?,ask_info
Dinner is included in your package.,not_ask_info
What platform will the session be streamed on?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
